predicate,object,location,time,duration,more
visit,official,embassy,morning|noon|afternoon,30m1h,Yes
visit,person,embassy,morning|noon|afternoon,1h2h,No
begin,meeting,establishment,morning|noon|afternoon|evening,0m15m,Yes
design,auditorium,establishment,morning|noon|afternoon|evening,2h,Yes
discuss,business,establishment,morning|noon|afternoon|evening|nighttime,2h,Yes
go to,constitution,establishment,morning|noon|afternoon,15m30m,No
pay,constitution,establishment,morning|noon|afternoon,1h2h,No
settle,loan,establishment,morning|noon|afternoon|evening,1h2h,Yes
use,sink,establishment,morning|noon|afternoon|evening|nighttime,30m1h,Yes
visit,constitution,establishment,morning|noon|afternoon,15m30m,No
visit,public institution (united states),establishment,morning,1h2h,Yes
work,topographic_point,establishment,morning|noon|afternoon|evening,none,Yes
audit,record,finance,morning|noon|afternoon,2h,Yes
borrow,customer,finance,morning|noon|afternoon|evening,30m1h,Yes
exchange,stock,finance,morning|noon|afternoon|evening|nighttime,0m15m,Yes
improve,investing,finance,morning|noon|afternoon|evening,none,Yes
invest,money,finance,morning|noon|afternoon,0m15m,Yes
manage,money,finance,morning|noon,0m15m,Yes
manage,money,finance,noon,15m30m,Yes
play,cricket,finance,morning|evening,1h2h,No
reduce,spending,finance,noon,15m30m,Yes
verify,assets and liability,finance,morning,30m1h,No
call,fire_engine,fire_station,nighttime,1h2h,Yes
call,service,fire_station,morning|noon|afternoon|evening|nighttime,1h2h,No
protect,waterhose,fire_station,morning|noon|afternoon|evening|nighttime,2h,No
sleep in,fire_station,fire_station,evening|nighttime,2h,Yes
slide down,pole,fire_station,morning|noon|afternoon|evening|nighttime,0m15m,Yes
store,fire_hose,fire_station,morning|noon|afternoon|evening|nighttime,2h,Yes
store,suit,fire_station,morning|noon|afternoon|evening|nighttime,2h,Yes
tour,fire_station,fire_station,morning|noon|afternoon|evening,30m1h,Yes
wash,firetruck,fire_station,morning|noon|afternoon|evening,1h2h,Yes
wash,firetruck,fire_station,morning|noon|afternoon|evening|nighttime,30m1h,Yes
buy,flower,florist,morning|noon|afternoon|evening,0m15m,No
buy,flower,florist,afternoon,0m15m,No
buy,flower,florist,morning|noon|afternoon|evening,15m30m,Yes
deflower,snake,florist,morning,0m15m,Yes
look at,pot,florist,morning|noon|afternoon|evening,30m1h,Yes
pick,rose,florist,morning|noon|afternoon|evening,15m30m,Yes
produce,flower,florist,morning|noon|afternoon|evening,15m30m,No
purchase,flower,florist,morning|noon|afternoon|evening,0m15m,No
purchase,flower,florist,morning|noon|afternoon|evening,30m1h,Yes
purchase,flower,florist,morning|noon|afternoon|evening,0m15m,Yes
smell,flower,florist,morning|noon|afternoon,0m15m,Yes
buy,fruit,food,evening,0m15m,Yes
compare,monetary_value,food,morning|noon|afternoon|evening|nighttime,0m15m,Yes
eat,breakfast,food,morning,30m1h,Yes
eat,eating,food,morning|noon|evening,0m15m,Yes
eat,food,food,morning|noon|afternoon|evening|nighttime,1h2h,No
eat,lunch,food,noon|afternoon,15m30m,Yes
eat,pizza,food,noon|afternoon,0m15m,Yes
fill,cart,food,morning|noon|afternoon|evening|nighttime,30m1h,Yes
prepare,chicken,food,morning|noon|afternoon|evening|nighttime,1h2h,Yes
waste,food,food,morning|afternoon|nighttime,0m15m,Yes
attend,funeral,funeral_home,morning|noon|afternoon|evening,30m1h,No
bury,family,funeral_home,noon|afternoon|evening,none,No
buy,grave,funeral_home,morning|noon|afternoon,30m1h,Yes
decorate,coffin,funeral_home,morning|noon|afternoon|evening|nighttime,1h2h,Yes
honor,dead_person,funeral_home,morning|noon|afternoon|evening,15m30m,Yes
look at,gravestone,funeral_home,morning|noon|afternoon,30m1h,Yes
pray,relative,funeral_home,noon|afternoon|evening,2h,Yes
sell,cross,funeral_home,morning|noon|afternoon|evening|nighttime,none,No
service,coffin,funeral_home,morning|noon|afternoon|evening|nighttime,1h2h,No
service,dead,funeral_home,morning,15m30m,No
buy,furniture,furniture_store,morning|noon|afternoon|evening,30m1h,Yes
buy,furniture,furniture_store,morning|noon|afternoon|evening,30m1h,Yes
buy,furniture,furniture_store,morning|noon|afternoon|evening,1h2h,Yes
furnish,furniture,furniture_store,morning|noon|evening,1h2h,No
look at,furniture,furniture_store,morning|noon|afternoon,15m30m,No
pick,sofa,furniture_store,morning|noon|afternoon|evening|nighttime,1h2h,Yes
pick out,desk,furniture_store,morning|noon|afternoon|evening,30m1h,Yes
purchase,furniture,furniture_store,morning|evening,15m30m,No
