predicate location
order meal_delivery
pack meal_delivery
pick_up meal_delivery
receive meal_delivery
tip meal_delivery
buy meal_takeaway
buy meal_takeaway
buy meal_takeaway
eat meal_takeaway
order meal_takeaway
pack meal_takeaway
pay meal_takeaway
pick_up meal_takeaway
pick_up meal_takeaway
take meal_takeaway
travel meal_takeaway
idolize mosque
idolize mosque
idolize mosque
meet_up_with mosque
practice mosque
practice mosque
pray mosque
prey mosque
spell mosque
state mosque
buy movie_rental
choose movie_rental
choose movie_rental
hire movie_rental
hire_out movie_rental
rent movie_rental
rent movie_rental
rent movie_rental
rent movie_rental
watch movie_rental
buy movie_theater
eat movie_theater
see movie_theater
see movie_theater
watch movie_theater
watch movie_theater
watch movie_theater
watch movie_theater
watch movie_theater
watch movie_theater
gather moving_company
hire moving_company
obtain moving_company
pick_up moving_company
raise moving_company
raise moving_company
schedule moving_company
transport moving_company
transport moving_company
transport moving_company
travel moving_company
buy museum
buy museum
consider museum
detect museum
detect museum
learn museum
peruse museum
see museum
see museum
see museum
see museum
crunch night_club
dance night_club
dance night_club
drink night_club
drink night_club
drink night_club
drink night_club
drink night_club
get night_club
meet night_club
blend painter
get painter
paint painter
paint painter
paint painter
paint painter
paint painter
paint painter
pay painter
put painter
use painter
eat park
enjoy park
have park
play park
play park
play park
play park
play park
sit park
throw park
leave parking
park parking
park parking
park parking
park parking
park parking
park parking
park parking
run parking
use parking
buy pet_store
buy pet_store
buy pet_store
buy pet_store
consider pet_store
consider pet_store
consider pet_store
feed pet_store
pet pet_store
sell pet_store
buy pharmacy
buy pharmacy
fill pharmacy
fill pharmacy
get pharmacy
guarantee pharmacy
pay pharmacy
pick_up pharmacy
sell pharmacy
wait pharmacy
analyze physiotherapist
exert physiotherapist
exert physiotherapist
help physiotherapist
massage physiotherapist
move_back_and_forth physiotherapist
raise physiotherapist
receive physiotherapist
see physiotherapist
visit physiotherapist
attend place_of_worship
idolize place_of_worship
kneel place_of_worship
meet place_of_worship
meet place_of_worship
praise place_of_worship
praise place_of_worship
pray place_of_worship
sing place_of_worship
travel place_of_worship
analyze plumber
install plumber
plump_out plumber
repair plumber
repair plumber
repair plumber
repair plumber
repair plumber
specialize plumber
unclog plumber
address police
attend police
catch police
collar police
get police
get police
press police
protect police
protest police
publish police
buy post_office
buy post_office
buy post_office
buy post_office
mail post_office
mail post_office
mail post_office
send post_office
send post_office
send post_office
send post_office
buy real_estate_agency
consider real_estate_agency
discourse real_estate_agency
gain real_estate_agency
give real_estate_agency
help real_estate_agency
pay real_estate_agency
sell real_estate_agency
sell real_estate_agency
write real_estate_agency
devour restaurant
eat restaurant
eat restaurant
eat restaurant
order restaurant
order restaurant
pay restaurant
sit_down restaurant
talk restaurant
tip restaurant
buy roofing_contractor
contract roofing_contractor
cover roofing_contractor
get roofing_contractor
measure roofing_contractor
obtain roofing_contractor
repair roofing_contractor
roof roofing_contractor
tar roofing_contractor
write roofing_contractor
book rv_park
check rv_park
drive rv_park
establish rv_park
grill rv_park
leave rv_park
parallel-park rv_park
park rv_park
sleep rv_park
stay rv_park
stay rv_park
analyze school
attend school
learn school
learn school
learn school
learn school
take school
teach school
teach school
write school
buy shoe_store
buy shoe_store
buy shoe_store
buy shoe_store
buy shoe_store
buy shoe_store
buy shoe_store
sell shoe_store
travel shoe_store
travel shoe_store
try_on shoe_store
buy shopping_mall
buy shopping_mall
buy shopping_mall
drink shopping_mall
patronize shopping_mall
shop shopping_mall
shop shopping_mall
shop shopping_mall
visit shopping_mall
work shopping_mall
associate spa
blend spa
get spa
get spa
get spa
massage spa
massage spa
receive spa
relax spa
soak spa
play stadium
play stadium
play stadium
put stadium
sit stadium
watch stadium
watch stadium
watch stadium
watch stadium
watch stadium
watch stadium
buy storage
lock storage
pack storage
raise storage
restrain storage
store storage
store storage
store storage
store storage
travel storage
unpack storage
buy store
buy store
buy store
buy store
buy store
choose store
choose store
perambulate store
push store
travel store
board subway_station
enter subway_station
ride subway_station
ride subway_station
ride subway_station
ride subway_station
ride subway_station
wait subway_station
wait subway_station
walk subway_station
attend synagogue
attend synagogue
idolize synagogue
idolize synagogue
idolize synagogue
idolize synagogue
marry synagogue
meet synagogue
practice synagogue
pray synagogue
acclaim taxi_stand
board taxi_stand
catch taxi_stand
hire taxi_stand
name taxi_stand
pick_up taxi_stand
ride taxi_stand
serve taxi_stand
wait taxi_stand
wait taxi_stand
arrive train_station
board train_station
board train_station
buy train_station
buy train_station
buy train_station
buy train_station
drop_off train_station
ride train_station
travel train_station
book travel_agency
buy travel_agency
buy travel_agency
buy travel_agency
plan travel_agency
plan travel_agency
plan travel_agency
plan travel_agency
see travel_agency
travel travel_agency
travel_purposefully travel_agency
analyze university
analyze university
analyze university
get university
impart university
meet university
receive university
tour university
visit university
visit university
analyze veterinary_care
analyze veterinary_care
analyze veterinary_care
bring_in veterinary_care
take veterinary_care
treat veterinary_care
visit veterinary_care
visit veterinary_care
visit veterinary_care
visit veterinary_care
buy zoo
consider zoo
look zoo
pet zoo
see zoo
see zoo
see zoo
visit zoo
visit zoo
visit zoo
